 Placa ; Tipo de Vehiculo ; Marca ; Año de Fabricacion ; Año del Permiso ; Valor Permiso ; IPC ; Multa ; Correccion Monetaria ; Valor Total ; Fecha de Emision ; Codigo Sii ; Forma de Pago 
RS-9317;CAMIONETA;TOYOTA;1997;2017;23115;370;3523;0;27008;04-01-2018;CT235003597;Contado
WX-1619;CAMION;IVECO;2007;2017;140220;701;6341;0;147262;09-01-2018; ;Contado
GRZD-98;CAMION;JMC;2014;2017;46740;234;2114;0;49088;15-01-2018; ;Contado
HGSB-76;AUTOMOVIL;CHEVROLET;2015;2017;31720;317;2403;189;34440;22-01-2018;SD050028215;2da. Cuota
BLZW-95;CAMIONETA;JAC;2018;2018;218979;0;3285;0;222264;07-02-2018;CT117001118;Contado
YR-1539;CAMIONETA;MITSUBISHI;2005;2017;37063;630;6219;0;43912;20-02-2018;CT166002805;Contado
HWSG-82;CAMIONETA;NISSAN;2016;2018;344618;5859;-5257;0;345220;21-02-2018;CT176032716;Contado
FHBW-98;AUTOMOVIL;KIA MOTORS;2013;2018;79589;0;0;0;79589;27-02-2018;SD132014713;Contado
GSBX-79;STATION WAGON;SUZUKI;2014;2018;126866;0;0;0;126866;27-02-2018;SU229025114;Contado
CGBF-55;CAMIONETA;MITSUBISHI;2010;2018;45433;0;0;0;45433;28-02-2018;CT166004610;1ra. Cuota
WZ-8235;AUTOMOVIL;NISSAN;2007;2018;24500;0;0;0;24500;01-03-2018;SD176020707;Contado
YR-1539;CAMIONETA;MITSUBISHI;2005;2018;36589;0;0;0;36589;01-03-2018;CT166002805;Contado
RR-8706;FURGON;CITROEN;1998;2018;23510;0;0;0;23510;01-03-2018;CO052000898;Contado
JRXH-81;AUTOMOVIL;SUZUKI;2017;2018;36195;0;0;0;36195;01-03-2018;HB229014917;1ra. Cuota
DP-7165;JEEP;CHEVROLET;1991;2018;23510;0;0;0;23510;01-03-2018;SU050001791;Contado
DGXX-93;CAMIONETA;MAHINDRA;2011;2018;50189;0;0;0;50189;02-03-2018;CT154000211;Contado
CFYT-21;CAMIONETA;DODGE;2010;2018;106166;0;0;0;106166;02-03-2018;CT064005810;Contado
GFLS-46;CAMIONETA;FORD;2014;2018;251366;0;0;0;251366;02-03-2018;CT079017314;Contado
VC-1831;STATION WAGON;CHEVROLET;2003;2018;23510;0;0;0;23510;05-03-2018;SD050018103;Contado
PG-5841;JEEP;SUZUKI;1996;2018;23510;0;0;0;23510;05-03-2018;SU229002096;Contado
XF-5916;CAMIONETA;TOYOTA;2004;2018;23510;0;0;0;23510;06-03-2018;CT235003504;Contado
RP-8849;CAMIONETA;CHEVROLET;1998;2018;23510;0;0;0;23510;06-03-2018;CT050003798;Contado
WA-9261;CAMIONETA;MAZDA;2006;2018;53189;0;0;0;53189;06-03-2018;CT160007306;Contado
DGFR-66;STATION WAGON;TOYOTA;2011;2018;152966;0;0;0;152966;06-03-2018;VN235004811;Contado
BLPJ-76;CAMIONETA;MITSUBISHI;2009;2018;39795;0;0;0;39795;07-03-2018;CT166004609;1ra. Cuota
BPPV-77;STATION WAGON;SUZUKI;2008;2018;34995;0;0;0;34995;07-03-2018;SU229021008;1ra. Cuota
YRB-445;CARRO ARRASTRE;HECHIZO;2015;2018;23510;0;0;0;23510;07-03-2018; ;Contado
WF-7433;JEEP;SUZUKI;2006;2018;33989;0;0;0;33989;07-03-2018;SU229017506;Contado
EG-3646;FURGON;VOLKSWAGEN;1974;2018;23510;0;0;0;23510;07-03-2018;SD243000574;Contado
HXVS-20;FURGON;CITROEN;2016;2018;173666;0;0;0;173666;07-03-2018;CO052010116;Contado
GRYK-25;AUTOMOVIL;MERCEDES BENZ;2015;2018;409018;0;0;0;409018;07-03-2018;SD162039815;Contado
BVTG-47;STATION WAGON;MERCEDES BENZ;2009;2018;312618;0;0;0;312618;07-03-2018;SU162002509;Contado
YR-8474;CAMIONETA;MITSUBISHI;2005;2018;48389;0;0;0;48389;08-03-2018;CT166003505;Contado
