 Placa ; Tipo de Vehiculo ; Marca ; Año del Permiso ; Valor Permiso ; IPC ; Multa ; Valor Total ; Fecha de Emision ; Codigo Sii ; Clasificacion ; Forma de Pago 
NK-8627;CARRO BOMBA;RENAULT;2014;5;0;0;5;17-01-2019; ;GRACIA;Contado
NK-8627;CARRO BOMBA;RENAULT;2015;5;0;0;5;17-01-2019; ;GRACIA;Contado
NK-8627;CARRO BOMBA;RENAULT;2016;5;0;0;5;17-01-2019; ;GRACIA;Contado
NK-8627;CARRO BOMBA;RENAULT;2017;5;0;0;5;17-01-2019; ;GRACIA;Contado
NK-8627;CARRO BOMBA;RENAULT;2018;5;0;0;5;17-01-2019; ;GRACIA;Contado
WZ-9161;RETROEXCAVADORA;J. DEERE;2018;47681;429;2887;50997;21-01-2019; ;NORMAL;Contado
BKYJ-31;MAQUINA INDUSTRIAL;CATERPILLAR;2018;71522;644;4330;76496;21-01-2019; ;NORMAL;Contado
GYPJ-73;CAMION;HYUNDAI;2018;47681;429;2887;50997;21-01-2019; ;NORMAL;Contado
BLPJ-76;CAMIONETA;MITSUBISHI;2018;36960;813;2833;40606;30-01-2019;CT166004609;NORMAL;2da. Cuota
BLXV-96;CAMIONETA;MITSUBISHI;2018;30294;636;2784;33714;01-02-2019;CT166004808;NORMAL;2da. Cuota
FPYW-52;FURGON;FIAT;2018;16861;354;1549;18764;07-02-2019;CO077000813;NORMAL;2da. Cuota
VA-0297;Moto;BMW;2019;132865;0;0;132865;08-02-2019;MT032005311;NORMAL;Contado
KFFJ-49;STATION WAGON;CHANGAN;2019;202765;0;0;202765;08-02-2019;SU047003818;NORMAL;Contado
CCDJ-12;CAMIONETA;MAZDA;2018;42515;893;3907;47315;11-02-2019;CT160009809;NORMAL;2da. Cuota
CPZV-26;CAMIONETA;DODGE;2019;124765;0;0;124765;13-02-2019;CT064006611;NORMAL;Contado
BDLB-96;AUTOMOVIL;HYUNDAI;2018;26800;563;4515;31878;15-02-2019;HB111004508;NORMAL;Contado
HWSG-82;CAMIONETA;NISSAN;2019;295282;0;0;295282;26-02-2019;CT176032716;NORMAL;Contado
VY-8994;STATION WAGON;HYUNDAI;2019;28700;0;0;28700;26-02-2019;SU111003203;NORMAL;Contado
ZS-2221;AUTOMOVIL;FIAT;2019;24177;0;0;24177;01-03-2019;HB077011006;NORMAL;Contado
FHBW-98;AUTOMOVIL;KIA MOTORS;2019;35594;0;0;35594;04-03-2019;SD132014713;NORMAL;1ra. Cuota
FRHS-73;AUTOMOVIL;NISSAN;2019;43788;0;0;43788;04-03-2019;HB176004913;NORMAL;Contado
HBVV-65;AUTOMOVIL;SUZUKI;2019;27400;0;0;27400;04-03-2019;HB229009215;NORMAL;Contado
KCLL-29;AUTOMOVIL;SUZUKI;2019;23294;0;0;23294;05-03-2019;HB229014918;NORMAL;1ra. Cuota
