 Placa ; Tipo de Vehiculo ; Año del Permiso ; Valor Permiso ; IPC ; Multa ; Valor Total ; Fecha de Emision ; Codigo Sii ; Forma de Pago ; Fondos a Terceros 
HCHG-30;AMBULANCIA;2019;322482;9029;49727;381238;08-01-2020;VN243007315;Contado;No
LWRP-92;BUS;2019;4102;0;62;4164;09-01-2020; ;Contado;No
RE-2348;CAMIONETA;2019;24177;677;3728;28582;10-01-2020;CT132000897;Contado;No
HZY-063;MOTO;2019;24177;677;3728;28582;13-01-2020;MT106023007;Contado;No
BYDL-39;CAMION;2019;0;0;0;0;24-01-2020; ;Contado;No
HTRD-28;CARRO BOMBA;2019;0;0;0;0;24-01-2020; ;Contado;No
YRV-029;CARRO ARRASTRE;2019;24177;677;3728;28582;30-01-2020; ;Contado;No
YRV-028;CARRO ARRASTRE;2019;24177;677;3728;28582;30-01-2020; ;Contado;No
YRV-027;CARRO ARRASTRE;2018;23510;1199;8154;32863;30-01-2020; ;Contado;No
YRV-027;CARRO ARRASTRE;2019;24177;677;3728;28582;30-01-2020; ;Contado;No
JJFR-56;STATION WAGON;2019;63255;822;4806;68883;07-01-2020;SU079007217;2da. Cuota;No
GFGX-70;FURGON;2019;12979;182;1184;14345;07-02-2020;CO095000114;2da. Cuota;No
LXHT-84;CAMIONETA;2020;429982;0;6450;436432;07-02-2020;CT160012020;Contado;No
HWSG-82;CAMIONETA;2020;254187;0;0;254187;25-02-2020;CT176032716;Contado;No
FGKS-92;CAMIONETA;2020;275905;0;0;275905;02-03-2020;CT079017913;Contado;No
YRV-024;CARRO ARRASTRE;2019;24177;846;4504;29527;02-03-2020; ;Contado;No
FZZV-78;CAMIONETA;2020;95689;0;0;95689;03-03-2020;CT225001214;Contado;No
LHZP-66;STATION WAGON;2020;148489;0;0;148489;03-03-2020;SU197009419;Contado;No
KYSR-53;CAMIONETA;2020;418406;0;0;418406;04-03-2020;CT160012019;Contado;No
HXVS-20;FURGON;2020;119427;0;0;119427;04-03-2020;CO052010116;Contado;No
GRYK-45;STATION WAGON;2020;332006;0;0;332006;04-03-2020;SU106003514;Contado;No
BVTG-47;STATION WAGON;2020;233089;0;0;233089;04-03-2020;SU162002509;Contado;No
GRYK-25;AUTOMOVIL;2020;276589;0;0;276589;04-03-2020;SD162039815;Contado;No
EG-3646;FURGON;2020;24837;0;0;24837;04-03-2020;SD243000574;Contado;No
HBVV-65;AUTOMOVIL;2020;12450;0;0;12450;04-03-2020;HB229009215;1ra. Cuota;No
BYTH-54;AUTOMOVIL;2020;24837;0;0;24837;05-03-2020;HB229006909;Contado;No
XF-6007;CAMIONETA;2020;35886;0;0;35886;05-03-2020;CT235009304;Contado;No
VG-2632;CAMIONETA;2020;24837;0;0;24837;05-03-2020;CT050013602;Contado;No
DBSD-56;CAMIONETA;2020;81396;0;0;81396;05-03-2020;CT176023711;Contado;No
DRYW-71;CAMIONETA;2020;98640;0;0;98640;06-03-2020;CT176030412;Contado;No
WH-7292;FURGON;2020;28500;0;0;28500;06-03-2020;VN132001606;Contado;No
UT-5717;CAMIONETA;2020;24837;0;0;24837;06-03-2020;CT176006301;Contado;No
YRV-029;CARRO ARRASTRE;2020;24837;0;0;24837;06-03-2020; ;Contado;No
YRV-028;CARRO ARRASTRE;2020;24837;0;0;24837;06-03-2020; ;Contado;No
YRV-039;CARRO ARRASTRE;2020;24837;0;0;24837;06-03-2020; ;Contado;No
YRV-027;CARRO ARRASTRE;2020;24837;0;0;24837;06-03-2020; ;Contado;No
BYDG-55;STATION WAGON;2020;20798;0;0;20798;06-03-2020;SU059010109;1ra. Cuota;No
HTHG-83;AUTOMOVIL;2020;48596;0;0;48596;06-03-2020;HB229014316;Contado;No
GRYZ-29;STATION WAGON;2020;38798;0;0;38798;06-03-2020;CO229001914;1ra. Cuota;No
KHPY-54;AUTOMOVIL;2020;22398;0;0;22398;09-03-2020;HB229015218;1ra. Cuota;No
JTRT-38;CAMIONETA;2020;372006;0;0;372006;09-03-2020;CT235014517;Contado;No
TP-9399;JEEP;2020;24837;0;0;24837;09-03-2020;SU229005100;Contado;No
VL-9548;CAMIONETA;2020;12418;0;0;12418;10-03-2020;CT050016703;1ra. Cuota;No
TC-7477;CAMIONETA;2020;24837;0;0;24837;10-03-2020;CT050009499;Contado;No
GRZB-71;AUTOMOVIL;2020;24837;0;0;24837;10-03-2020;HB229012014;Contado;No
JTCV-17;TRACTOR;2019;49033;883;4492;54408;10-03-2020; ;Contado;No
MY-2709;AUTOMOVIL;2020;24837;0;0;24837;11-03-2020;HB229009207;Contado;No
BLZJ-79;CAMIONETA;2020;38196;0;0;38196;11-03-2020;CT111003408;Contado;No
RX-1928;CAMIONETA;2020;24837;0;0;24837;11-03-2020;CT176003898;Contado;No
CDVY-76;STATION WAGON;2020;49796;0;0;49796;11-03-2020;SU132010410;Contado;No
JPFC-83;AUTOMOVIL;2020;97045;0;0;97045;11-03-2020;SD050030917;Contado;No
YK-7046;CAMIONETA;2020;34596;0;0;34596;11-03-2020;CT176017605;Contado;No
YRV-048;CARRO ARRASTRE;2020;24837;0;0;24837;11-03-2020; ;Contado;No
VN-1033;CAMIONETA;2020;24837;0;0;24837;11-03-2020;CT050013603;Contado;No
GTTL-28;CAMIONETA;2020;149089;0;0;149089;11-03-2020;CT050030315;Contado;No
HXKG-39;AUTOMOVIL;2020;59596;0;0;59596;11-03-2020;SD111027316;Contado;No
DJDG-98;CAMIONETA;2020;144254;0;0;144254;11-03-2020;CT235013312;Contado;No
BDHH-57;AUTOMOVIL;2020;24837;0;0;24837;11-03-2020;HB132001608;Contado;No
