N° BOLETIN;PATENTE;FECHA EMISION;AÑO DEL PERMISO;VALOR PERMISO; VALOR IPC;VALOR MULTA;TOTAL A PAGAR;TIPO DE PAGO; CAJA;TIPO VEHICULO;FECHA PAGO; Codigo Sii ; Clasificacion ; Fondos a Terceros 
2097;AL-9804-8;31-08-2021;2021;12910;0;0;12910;2ª Cuota  ;PAGADO INTERNET;AUTOMOVIL ;31-08-2021;SD166001990;NORMAL;No
926;AL-9804-8;31-03-2021;2021;12745;0;0;12745;1ª Cuota  ;PRESENCIAL;AUTOMOVIL ;31-03-2021;SD166001990;NORMAL;No
1222;BBGZ-35-6;30-03-2021;2021;30231;0;0;30231;CONTADO   ;PRESENCIAL;CAMIONETA ;26-04-2021;CT111003807;NORMAL;No
1336;BBHF-72-4;02-04-2021;2021;25489;51;383;25923;CONTADO   ;PRESENCIAL;FURGON    ;30-04-2021;CO184005708;NORMAL;No
546;BBHG-60-7;23-03-2021;2021;49355;0;0;49355;CONTADO   ;PRESENCIAL;CAMIONETA ;24-03-2021;CT166004508;NORMAL;No
1370;BBLY-16-5;11-04-2021;2021;55736;111;838;56685;CONTADO   ;PRESENCIAL;STATION WA;30-04-2021;VN132008608;NORMAL;No
578;BBSZ-44-4;24-03-2021;2021;83200;0;0;83200;CONTADO   ;PRESENCIAL;STATION WA;24-03-2021;SU225005908;NORMAL;No
1333;BBTW-70-k;01-04-2021;2021;49355;99;742;50196;CONTADO   ;PRESENCIAL;CAMIONETA ;30-04-2021;CT166004508;NORMAL;No
1100;BBVS-15-3;24-03-2021;2021;49918;0;0;49918;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT079015408;NORMAL;No
1021;BCFW-92-5;08-03-2021;2021;12745;0;0;12745;1ª Cuota  ;PRESENCIAL;AUTOMOVIL ;31-03-2021;HB229008307;NORMAL;No
434;BCHX-71-K;15-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;15-03-2021;SD132009308;NORMAL;No
837;BD-6113-9;30-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;JEEP      ;31-03-2021;SU176001692;NORMAL;No
270;BDDP-69-1;09-02-2021;2020;78475;1883;13259;93617;CONTADO   ;PRESENCIAL;AMBULANCIA;09-02-2021;CT064005208;NORMAL;No
1246;BDDP-69-1;30-03-2021;2021;77692;0;0;77692;CONTADO   ;PRESENCIAL;AMBULANCIA;27-04-2021;CT064005208;NORMAL;No
1303;BDHH-57-2;31-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;27-04-2021;HB132001608;NORMAL;No
664;BDHH-58-0;26-03-2021;2021;41286;0;0;41286;CONTADO   ;PRESENCIAL;STATION WA;29-03-2021;SU132008408;NORMAL;No
1357;BDLB-96-8;27-04-2021;2021;25489;51;383;25923;CONTADO   ;PRESENCIAL;AUTOMOVIL ;30-04-2021;HB111004508;NORMAL;No
2433;BDRR-70-2;26-11-2021;2021;52161;782;1588;54531;CONTADO   ;PRESENCIAL;CAMION    ;29-11-2021; ;NORMAL;No
915;BDSZ-88-5;31-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;FURGON    ;31-03-2021;CO077000808;NORMAL;No
707;BDVW-29-1;29-03-2021;2021;54235;0;0;54235;CONTADO   ;PRESENCIAL;CAMIONETA ;30-03-2021;CT166004708;NORMAL;No
912;BFCW-58-3;31-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;31-03-2021;SD050019108;NORMAL;No
829;BFFD-78-K;30-03-2021;2021;23364;0;0;23364;1ª Cuota  ;PRESENCIAL;CAMIONETA ;31-03-2021;CT132003708;NORMAL;No
2256;BFFD-78-K;30-09-2021;2021;23668;189;358;24215;2ª Cuota  ;PRESENCIAL;CAMIONETA ;25-10-2021;CT132003708;NORMAL;No
516;BFPY-13-5;19-03-2021;2021;21488;0;0;21488;1ª Cuota  ;PRESENCIAL;STATION WA;22-03-2021;SU225004508;NORMAL;No
1678;BFRG-90-0;05-07-2021;2020;61996;2728;15534;80258;CONTADO   ;PRESENCIAL;CAMIONETA ;06-07-2021;CT160008808;NORMAL;No
1679;BFRG-90-0;05-07-2021;2021;55548;667;3373;59588;CONTADO   ;PRESENCIAL;CAMIONETA ;06-07-2021;CT160008808;NORMAL;No
946;BFRH-37-0;31-03-2021;2021;49355;0;0;49355;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT166004508;NORMAL;No
1478;BGCJ-55-K;18-05-2021;2021;269950;1620;8147;279717;CONTADO   ;PRESENCIAL;STATION WA;18-05-2021;SU141004808;NORMAL;No
2476;BGDK-24-1;10-12-2021;2020;150966;11473;36549;198988;CONTADO   ;PRESENCIAL;CAMION    ;10-12-2021; ;NORMAL;No
2477;BGDK-24-1;10-12-2021;2021;156483;4538;7246;168267;CONTADO   ;PRESENCIAL;CAMION    ;10-12-2021; ;NORMAL;No
513;BGJL-94-0;19-03-2021;2021;49355;0;0;49355;CONTADO   ;PRESENCIAL;CAMIONETA ;22-03-2021;CT160009108;NORMAL;No
1674;BGJZ-73-8;05-07-2021;2020;83996;3696;21046;108738;CONTADO   ;PRESENCIAL;JEEP      ;19-07-2021;VN121001809;NORMAL;No
1675;BGJZ-73-8;05-07-2021;2021;76190;914;4626;81730;CONTADO   ;PRESENCIAL;JEEP      ;19-07-2021;VN121001809;NORMAL;No
1074;BGRT-98-4;20-03-2021;2021;47104;0;0;47104;CONTADO   ;PRESENCIAL;AUTOMOVIL ;31-03-2021;SD166006308;NORMAL;No
492;BGYR-79-8;19-03-2021;2021;56674;0;0;56674;CONTADO   ;PRESENCIAL;CAMIONETA ;22-03-2021;CT235011608;NORMAL;No
1435;BHCT-71-7;11-05-2021;2021;39222;235;1184;40641;CONTADO   ;PRESENCIAL;STATION WA;11-05-2021;SU229019008;NORMAL;No
1930;BHDZ-52-8;29-07-2021;2021;39222;471;2382;42075;CONTADO   ;PRESENCIAL;CAMIONETA ;29-07-2021;CT176017308;NORMAL;No
629;BHJJ-98-5;25-03-2021;2021;67558;0;0;67558;CONTADO   ;PRESENCIAL;STATION WA;25-03-2021;VN235003408;NORMAL;No
1609;BHVS-69-5;08-06-2021;2021;51489;206;775;52470;CONTADO   ;PRESENCIAL;MINIBUS   ;08-06-2021; ;NORMAL;No
712;BHVV-41-8;29-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;CAMIONETA ;16-04-2021;CT176014908;NORMAL;No
923;BJJF-67-0;31-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;31-03-2021;SD176021408;NORMAL;No
485;BJRY-95-4;19-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;22-03-2021;SD176021410;NORMAL;No
1276;BKCV-65-8;31-03-2021;2021;36782;0;0;36782;CONTADO   ;PRESENCIAL;CAMIONETA ;27-04-2021;CT160008408;NORMAL;No
2223;BKDX-39-7;14-09-2021;2021;41164;329;622;42115;2ª Cuota  ;PAGADO INTERNET;JEEP      ;29-09-2021;SU235006608;NORMAL;No
1178;BKDX-39-7;29-03-2021;2021;40636;0;0;40636;1ª Cuota  ;PRESENCIAL;JEEP      ;26-04-2021;SU235006608;NORMAL;No
614;BKJK-38-7;24-03-2021;2021;29275;0;0;29275;CONTADO   ;PRESENCIAL;CAMIONETA ;30-03-2021;CT050025408;NORMAL;No
552;BKKR-95-3;23-03-2021;2021;43538;0;0;43538;CONTADO   ;PRESENCIAL;CAMIONETA ;24-03-2021;CT176020008;NORMAL;No
1471;BKKR-95-3;17-05-2021;2021;5180;0;0;5180;DUPLICADO ;PRESENCIAL;CAMIONETA ;19-05-2021; ;DUPLICADO;No
715;BKTX-61-9;29-03-2021;2021;29087;0;0;29087;CONTADO   ;PRESENCIAL;STATION WA;30-03-2021;SU079004508;NORMAL;No
1557;BKXH-72-4;14-05-2021;2021;46728;280;1410;48418;CONTADO   ;PRESENCIAL;STATION WA;31-05-2021;SU227023908;NORMAL;No
2141;BKYJ-31-9;07-09-2021;2021;78242;0;0;78242;CONTADO   ;PRESENCIAL;MAQUINA IN;10-09-2021; ;NORMAL;No
1180;BLFT-95-9;29-03-2021;2021;43538;0;0;43538;CONTADO   ;PRESENCIAL;CAMIONETA ;26-04-2021;CT176020008;NORMAL;No
860;BLLK-95-1;30-03-2021;2021;36595;0;0;36595;CONTADO   ;PRESENCIAL;CAMIONETA ;16-04-2021;CT176023309;NORMAL;No
607;BLPK-83-9;24-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;25-03-2021;HB184012408;NORMAL;No
579;BLZJ-79-3;24-03-2021;2021;33217;0;0;33217;CONTADO   ;PRESENCIAL;CAMIONETA ;29-03-2021;CT111003408;NORMAL;No
