PATENTE;AÑO DEL PERMISO;TOTAL A PAGAR;TIPO DE PAGO;MODALIDAD;TIPO VEHICULO;FECHA PAGO;CODIGO SII;DUPLICADO;FONDO A TERCEROS
AL-9804-8;2022;13611;1ª Cuota  ;PRESENCIAL;AUTOMOVIL ;30-03-2022;SD166001990;;No
AL-9804-8;2022;14359;2ª Cuota  ;PRESENCIAL;AUTOMOVIL ;26-08-2022;SD166001990;;No
BB-0521-4;2022;14396;1ª Cuota  ;PRESENCIAL;Moto      ;31-03-2022;MT106026514;;No
BB-0521-4;2022;16096;2ª Cuota  ;INTERNET;Moto      ;28-11-2022;CT235003194;;No
BBHG-60-7;2022;52355;CONTADO   ;PRESENCIAL;CAMIONETA ;07-03-2022;MT106026514;;No
BBLY-16-5;2022;53687;CONTADO   ;INTERNET;STATION WA;29-04-2022;CT159001221;;No
BBSZ-44-4;2022;43413;1ª Cuota  ;INTERNET;STATION WA;28-06-2022; ;;No
BBSZ-44-4;2022;42426;2ª Cuota  ;INTERNET;STATION WA;14-09-2022;SU160005919;;No
BBTC-44-5;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;30-03-2022;CT166004508;;No
BBTW-70-k;2022;52355;CONTADO   ;PRESENCIAL;CAMIONETA ;28-03-2022;VN132008608;;No
BBVS-15-3;2022;53873;CONTADO   ;INTERNET;CAMIONETA ;27-04-2022;SU160005919;;No
BBYL-12-3;2022;43804;CONTADO   ;PRESENCIAL;CAMIONETA ;28-03-2022;SU225005908;;No
BCHX-71-K;2022;27221;CONTADO   ;INTERNET;AUTOMOVIL ;31-03-2022;CO052011320;;No
BDDP-69-1;2022;87359;CONTADO   ;INTERNET;AMBULANCIA;07-07-2022;SU235014119;;No
BDFG-12-5;2022;183766;CONTADO   ;PRESENCIAL;CAMION    ;17-11-2022;SU225005908;;No
BDHH-58-0;2022;44286;CONTADO   ;INTERNET;STATION WA;06-04-2022;CO181000420;;No
