PATENTE;FECHA EMISION;AÑO DEL PERMISO;TOTAL A PAGAR;TIPO PAGO;MODALIDAD PAGO;TIPO VEHICULO;CODIGO SII;CLASIFICACION;FONDO A TERCERO;COMUNA FONDO TERCERO
AL-9804-8;04-09-2023;2023;15941;2ª Cuota  ;PRESENCIAL;AUTOMOVIL ;SD166001990;NORMAL;No;
AL-9804-8;29-03-2023;2023;15443;1ª Cuota  ;PRESENCIAL;AUTOMOVIL ;SD166001990;NORMAL;No;
BB-0521-4;05-04-2023;2023;31348;CONTADO   ;PAGO ONLINE;Moto      ;MT106026514;NORMAL;No;
BBHG-60-7;24-04-2023;2023;48065;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT166004508;NORMAL;No;
BBLY-16-5;30-03-2023;2023;47736;CONTADO   ;PRESENCIAL;STATION WA;VN132008608;NORMAL;No;
BBTC-44-5;21-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD132009307;NORMAL;No;
BBTW-70-k;20-03-2023;2023;47355;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT166004508;NORMAL;No;
BBVS-15-3;28-03-2023;2023;51878;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT079015408;NORMAL;No;
BBYL-12-3;27-03-2023;2023;38804;CONTADO   ;PRESENCIAL;CAMIONETA ;CT160008508;NORMAL;No;
BCFW-92-5;19-01-2023;2022;34779;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB229008307;NORMAL;No;
BCFW-92-5;19-01-2023;2021;19151;2ª Cuota  ;PRESENCIAL;AUTOMOVIL ;HB229008307;NORMAL;No;
BCFW-92-5;31-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB229008307;NORMAL;No;
BCHX-71-K;10-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD132009308;NORMAL;No;
BCVH-43-2;20-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD176022108;NORMAL;No;
BDBG-34-K;07-09-2023;2023;63326;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
BDDP-69-1;05-09-2023;2023;44230;2ª Cuota  ;PAGO ONLINE;AMBULANCIA;CT064005208;NORMAL;No;
BDDP-69-1;30-03-2023;2023;42846;1ª Cuota  ;PAGO ONLINE;AMBULANCIA;CT064005208;NORMAL;No;
BDFG-12-5;12-10-2023;2023;193021;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
BDHH-58-0;20-03-2023;2023;39286;CONTADO   ;PAGO ONLINE;STATION WA;SU132008408;NORMAL;No;
BDKT-23-6;01-02-2023;2022;195176;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
BDKY-94-0;24-03-2023;2023;53548;CONTADO   ;PRESENCIAL;CAMIONETA ;CT160008808;NORMAL;No;
BDLB-96-8;06-04-2023;2023;31348;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB111004508;NORMAL;No;
BDVW-29-1;30-03-2023;2023;26579;1ª Cuota  ;PRESENCIAL;CAMIONETA ;CT166004708;NORMAL;No;
BFCW-58-3;02-05-2023;2023;32130;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD050019108;NORMAL;No;
BFFD-78-K;21-03-2023;2023;44728;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT132003708;NORMAL;No;
BFKG-14-8;29-03-2023;2023;30885;CONTADO   ;PRESENCIAL;FURGON    ;CO077000808;NORMAL;No;
BFRF-37-8;24-03-2023;2023;64486;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176018308;NORMAL;No;
BFRF-97-1;07-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD132009408;NORMAL;No;
BFRH-37-0;30-03-2023;2023;47355;CONTADO   ;PRESENCIAL;CAMIONETA ;CT166004508;NORMAL;No;
BG-9271-6;09-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD176004790;NORMAL;No;
BGCJ-55-K;22-03-2023;2023;286389;CONTADO   ;PAGO ONLINE;STATION WA;SU141004808;NORMAL;No;
BGJZ-73-8;05-04-2023;2023;85246;CONTADO   ;PRESENCIAL;JEEP      ;VN121001809;NORMAL;No;
BGSX-18-0;29-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB052015508;NORMAL;No;
BHBP-46-5;15-12-2023;2023;6422;DUPLICADO ;PRESENCIAL;AUTOMOVIL ;SD050021808;NORMAL;No;
BHBP-46-5;02-06-2023;2023;32695;CONTADO   ;PRESENCIAL;AUTOMOVIL ; ;DUPLICADO;No;
BHBP-46-5;02-06-2023;2022;37947;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD050021808;NORMAL;Si;PUYEHUE                       
BHCT-71-7;02-06-2023;2023;33051;CONTADO   ;PRESENCIAL;STATION WA;SU229019008;NORMAL;No;
BHGV-44-2;24-04-2023;2023;40883;CONTADO   ;PRESENCIAL;CAMIONETA ;CT050026008;NORMAL;No;
BHJJ-98-5;14-03-2023;2023;68992;CONTADO   ;PRESENCIAL;STATION WA;VN235003408;NORMAL;No;
BHVS-69-5;31-05-2023;2023;62450;CONTADO   ;PAGO ONLINE;MINIBUS   ; ;NORMAL;No;
BHVV-41-8;04-05-2023;2023;32130;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176014908;NORMAL;No;
BJJF-67-0;07-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD176021408;NORMAL;No;
BJSZ-99-9;21-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB050009510;NORMAL;No;
BKCV-65-8;30-03-2023;2023;35383;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT160008408;NORMAL;No;
BKFD-93-1;28-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB079011108;NORMAL;No;
BKKR-95-3;25-04-2023;2023;42161;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176020008;NORMAL;No;
BKTW-30-2;27-03-2023;2023;76852;CONTADO   ;PRESENCIAL;STATION WA;VN160002407;NORMAL;No;
BKTX-61-9;29-03-2023;2023;30885;CONTADO   ;PRESENCIAL;STATION WA;SU079004508;NORMAL;No;
BKTX-99-6;17-03-2023;2023;31519;CONTADO   ;PRESENCIAL;STATION WA;SU111006508;NORMAL;No;
BKTX-99-6;17-03-2023;2022;45755;CONTADO   ;PRESENCIAL;STATION WA;SU111006508;NORMAL;Si;CASTRO                        
BKTX-99-6;17-03-2023;2021;51883;CONTADO   ;PRESENCIAL;STATION WA;SU111006508;NORMAL;Si;CASTRO                        
BKTX-99-6;17-03-2023;2020;69950;CONTADO   ;PRESENCIAL;STATION WA;SU111006508;NORMAL;Si;CASTRO                        
BKTX-99-6;17-03-2023;2019;95457;CONTADO   ;PRESENCIAL;STATION WA;SU111006508;NORMAL;Si;CASTRO                        
BKXH-72-4;31-03-2023;2023;44758;CONTADO   ;PAGO ONLINE;STATION WA;SU227023908;NORMAL;No;
BKXH-96-1;05-09-2023;2023;76480;CONTADO   ;PRESENCIAL;STATION WA;VN235003408;NORMAL;No;
BKYJ-31-9;29-09-2023;2023;94989;CONTADO   ;PRESENCIAL;MAQUINA IN; ;NORMAL;No;
BLFT-95-9;30-03-2023;2023;41538;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT176020008;NORMAL;No;
BLGD-46-K;14-03-2023;2023;61215;CONTADO   ;PAGO ONLINE;STATION WA;VN235004308;NORMAL;No;
BLLK-95-1;29-03-2023;2023;32228;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176023309;NORMAL;No;
BLPK-83-9;31-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB184012408;NORMAL;No;
BLSK-31-2;28-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB229007708;NORMAL;No;
BLZJ-79-3;16-03-2023;2023;31217;CONTADO   ;PRESENCIAL;CAMIONETA ;CT111003408;NORMAL;No;
BLZP-42-K;29-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD079011908;NORMAL;No;
BLZR-12-0;25-03-2023;2023;31728;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT176019008;NORMAL;No;
BLZT-83-2;22-03-2023;2023;34287;CONTADO   ;PRESENCIAL;CAMIONETA ;CT154000608;NORMAL;No;
BPBL-46-5;06-03-2023;2023;38953;CONTADO   ;PRESENCIAL;STATION WA;VN121000804;NORMAL;No;
BPLX-32-6;31-03-2023;2023;45098;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT176023008;NORMAL;No;
BPPB-94-0;29-03-2023;2023;36432;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176023808;NORMAL;No;
BPVB-68-7;31-03-2023;2023;44165;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT166004808;NORMAL;No;
BPXJ-31-7;31-03-2023;2023;71914;CONTADO   ;PRESENCIAL;STATION WA;SU227028208;NORMAL;No;
BRBV-99-K;03-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD235017108;NORMAL;No;
BRCK-54-4;14-04-2023;2023;42378;CONTADO   ;PRESENCIAL;STATION WA;SU111005908;NORMAL;No;
BRRK-21-8;03-10-2023;2023;192828;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
BRXB-30-K;22-03-2023;2023;54674;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235011608;NORMAL;No;
BRYB-20-8;31-08-2023;2023;20402;2ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT050026008;NORMAL;No;
BRYB-20-8;30-03-2023;2023;20140;1ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT050026008;NORMAL;No;
BSBP-54-2;27-03-2023;2023;34782;CONTADO   ;PRESENCIAL;CAMIONETA ;CT111003608;NORMAL;No;
BSC-022-K;30-03-2023;2023;15443;1ª Cuota  ;PRESENCIAL;Moto      ;MT254014015;NORMAL;No;
BSC-022-K;27-09-2023;2023;15943;2ª Cuota  ;PAGO ONLINE;Moto      ;MT254014015;NORMAL;No;
BSPG-74-3;17-02-2023;2023;30885;CONTADO   ;PRESENCIAL;CAMIONETA ;CT050025408;NORMAL;No;
BSTG-76-1;23-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;STATION WA;SU059009508;NORMAL;No;
BSVG-32-5;03-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD197012009;NORMAL;No;
BSYV-54-2;29-03-2023;2023;35383;CONTADO   ;PRESENCIAL;CAMIONETA ;CT160008408;NORMAL;No;
BSZC-21-2;17-11-2023;2023;97186;2ª Cuota  ;PRESENCIAL;CHASIS CAB; ;NORMAL;No;
BSZC-21-2;29-09-2023;2023;94989;1ª Cuota  ;PRESENCIAL;CHASIS CAB; ;NORMAL;No;
BTRF-13-0;03-04-2023;2023;62478;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235011609;NORMAL;No;
BTRZ-47-7;21-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB111004408;NORMAL;No;
BTVC-39-8;23-03-2023;2023;38916;CONTADO   ;PRESENCIAL;STATION WA;SU229018508;NORMAL;No;
BTVG-60-5;26-04-2023;2023;31348;CONTADO   ;PRESENCIAL;JEEP      ;SU229022408;NORMAL;No;
BU-4700-1;05-01-2023;2022;127931;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
BVFP-38-6;29-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;STATION WA;SU050005509;NORMAL;No;
BVKF-21-9;14-03-2023;2023;59366;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176024309;NORMAL;No;
BVSV-74-9;02-06-2023;2023;63577;CONTADO   ;PRESENCIAL;MINIBUS   ; ;NORMAL;No;
BVSV-74-9;02-06-2023;2022;73932;CONTADO   ;PRESENCIAL;MINIBUS   ; ;NORMAL;No;
BVTG-47-7;24-03-2023;2023;201962;CONTADO   ;PRESENCIAL;STATION WA;SU162002509;NORMAL;No;
BWCX-82-1;29-03-2023;2023;36476;CONTADO   ;PRESENCIAL;STATION WA;SU229019009;NORMAL;No;
BWGY-11-5;07-10-2023;2023;16194;2ª Cuota  ;PAGO ONLINE;AUTOMOVIL ;HB111004509;NORMAL;No;
BWGY-11-5;05-04-2023;2023;15675;1ª Cuota  ;PAGO ONLINE;AUTOMOVIL ;HB111004509;NORMAL;No;
BXBH-99-9;31-03-2023;2023;33849;CONTADO   ;PRESENCIAL;STATION WA;SU079004310;NORMAL;No;
BXRT-67-3;29-03-2023;2023;32718;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB111005911;NORMAL;No;
BYCK-47-9;28-03-2023;2023;70590;CONTADO   ;PAGO ONLINE;STATION WA;VN166004809;NORMAL;No;
BYDG-55-6;24-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;STATION WA;SU059010109;NORMAL;No;
BYDL-39-K;12-01-2023;2022;0;CONTADO   ;PRESENCIAL;CAMION    ; ;GRACIA;No;
BYDL-39-K;12-01-2023;2021;0;CONTADO   ;PRESENCIAL;CAMION    ; ;GRACIA;No;
BYDL-39-K;12-01-2023;2020;0;CONTADO   ;PRESENCIAL;CAMION    ; ;GRACIA;No;
BYGB-98-5;30-03-2023;2023;38350;CONTADO   ;PAGO ONLINE;STATION WA;SU176018409;NORMAL;No;
BYLB-81-2;22-03-2023;2023;49420;CONTADO   ;PAGO ONLINE;FURGON    ;VN111012409;NORMAL;No;
BYTF-92-K;23-05-2023;2023;62450;CONTADO   ;PRESENCIAL;MINIBUS   ; ;NORMAL;No;
BZ-7587-8;16-03-2023;2023;30885;CONTADO   ;PRESENCIAL;CAMIONETA ;CT235000389;NORMAL;No;
BZBR-59-3;11-03-2023;2023;60225;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT160009809;NORMAL;No;
BZSV-47-K;18-04-2023;2023;48055;CONTADO   ;PRESENCIAL;CAMIONETA ;CT225001909;NORMAL;No;
CBLD-83-3;29-03-2023;2023;34970;CONTADO   ;PRESENCIAL;STATION WA;SU111006509;NORMAL;No;
CBLW-95-6;24-04-2023;2023;31348;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB050009910;NORMAL;No;
CBLY-41-K;31-03-2023;2023;47173;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT079014410;NORMAL;No;
CBLZ-23-8;27-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD050022710;NORMAL;No;
CBPD-99-0;31-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB132002409;NORMAL;No;
CBPK-80-1;30-08-2023;2023;54202;2ª Cuota  ;PRESENCIAL;CAMIONETA ;CT132005014;NORMAL;No;
CBPK-80-1;29-03-2023;2023;53454;1ª Cuota  ;PRESENCIAL;CAMIONETA ;CT132005014;NORMAL;No;
CBPV-14-4;31-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB235002710;NORMAL;No;
CBRF-33-5;15-09-2023;2023;66453;2ª Cuota  ;PAGO ONLINE;STATION WA;VN132009010;NORMAL;No;
CBRF-33-5;25-03-2023;2023;64373;1ª Cuota  ;PAGO ONLINE;STATION WA;VN132009010;NORMAL;No;
CCFJ-33-K;02-08-2023;2023;15644;2ª Cuota  ;PAGO ONLINE;STATION WA;SU229022210;NORMAL;No;
CCFJ-33-K;20-03-2023;2023;15443;1ª Cuota  ;PAGO ONLINE;STATION WA;SU229022210;NORMAL;No;
CCFY-54-9;15-03-2023;2023;46417;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT176023810;NORMAL;No;
CCRC-21-3;29-03-2023;2023;57228;CONTADO   ;PRESENCIAL;CAMIONETA ;CT079015409;NORMAL;No;
CCWW-59-8;28-11-2023;2023;65748;CONTADO   ;PAGO ONLINE;CAMION    ; ;NORMAL;No;
CDDS-76-7;20-03-2023;2023;79526;CONTADO   ;PRESENCIAL;STATION WA;VN064002810;NORMAL;No;
CDRK-35-6;20-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB111006410;NORMAL;No;
CDSH-72-3;27-03-2023;2023;30885;CONTADO   ;PRESENCIAL;FURGON    ;CO184005810;NORMAL;No;
CDVF-24-1;30-03-2023;2023;71137;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176028010;NORMAL;No;
CDVY-76-K;31-03-2023;2023;36101;CONTADO   ;PRESENCIAL;STATION WA;SU132010410;NORMAL;No;
CDVY-80-8;21-03-2023;2023;48459;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB235004610;NORMAL;No;
CDWC-95-3;15-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD111016410;NORMAL;No;
CDWS-43-7;31-03-2023;2023;129010;1ª Cuota  ;PAGO ONLINE;STATION WA;SU032002610;NORMAL;No;
CFFF-84-4;05-04-2023;2023;72204;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176028010;NORMAL;No;
CFLZ-79-7;06-03-2023;2023;62556;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176020310;NORMAL;No;
CFPF-58-3;31-03-2023;2023;62752;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT166004610;NORMAL;No;
CFRB-63-1;05-10-2023;2023;35056;CONTADO   ;PRESENCIAL;STATION WA;SU132004403;NORMAL;No;
CFRB-63-1;05-10-2023;2022;46234;CONTADO   ;PRESENCIAL;STATION WA;SU132004403;NORMAL;Si;LOS MUERMOS                   
CFVP-31-3;22-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD111016310;NORMAL;No;
CFVP-46-1;20-03-2023;2023;41140;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT154000610;NORMAL;No;
CFWJ-16-K;17-03-2023;2023;79526;CONTADO   ;PRESENCIAL;STATION WA;VN064002810;NORMAL;No;
CFYT-21-8;10-04-2023;2023;72328;CONTADO   ;PRESENCIAL;CAMIONETA ;CT064005810;NORMAL;No;
CGRB-98-9;10-03-2023;2023;30885;CONTADO   ;PRESENCIAL;CAMIONETA ;CT111001199;NORMAL;No;
CGYL-86-9;31-05-2023;2023;62450;CONTADO   ;PRESENCIAL;MINIBUS   ; ;NORMAL;No;
CGYX-80-7;12-10-2023;2023;6352;DUPLICADO ;PRESENCIAL;STATION WA;VN050003910;NORMAL;No;
CGYX-80-7;21-03-2023;2023;88135;CONTADO   ;PRESENCIAL;STATION WA; ;DUPLICADO;No;
CHFX-12-5;14-03-2023;2023;34600;CONTADO   ;PAGO ONLINE;STATION WA;SU229023810;NORMAL;No;
CHTD-61-8;28-03-2023;2023;43255;CONTADO   ;PRESENCIAL;STATION WA;SU176019710;NORMAL;No;
CHZD-77-1;27-03-2023;2023;60025;CONTADO   ;PRESENCIAL;CAMIONETA ;CT050028910;NORMAL;No;
CJDH-74-8;27-02-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB229011011;NORMAL;No;
CJDX-24-8;05-04-2023;2023;31348;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB132003211;NORMAL;No;
CJDZ-67-4;04-04-2023;2023;35309;CONTADO   ;PAGO ONLINE;STATION WA;SU229023910;NORMAL;No;
CJKV-74-9;14-12-2023;2023;0;CONTADO   ;PRESENCIAL;CARRO BOMB; ;GRACIA;No;
