 Placa ; Tipo de Vehiculo ; Marca ; Modelo ; Año del Permiso ; Valor Total ; Forma de Pago 
DRDT-55;CARRO BOMBA;RENAULT;MIDLUM 280 15 4X4;2016;0;Contado
GSSZ-69;AUTOMOVIL;NISSAN;NOTE SENSE MT;2016;74100;2da. Cuota
JGRW-31;MINIBUS;HYUNDAI;H-1 MS 2.5 CRDI 6M/T GLS 10S AC 2AB;2016;3890;Contado
WW-7779;CAMION;FORD;F 350;2016;49203;Contado
NL-5563;AUTOMOVIL;CITROEN;ZX REFLEX FLASH;2017;11557;1ra. Cuota
CTVY-63;CAMIONETA;NISSAN;TERRANO PICK UP DXS;2017;60544;1ra. Cuota
JKHS-70;MINIBUS;FORD;TRANSIT MINIBUS 17-1;2017;42969;Contado
FHBW-98;AUTOMOVIL;KIA MOTORS;CERATO EX MT AB (NVO);2017;85088;Contado
XV-5014;CAMIONETA;TOYOTA;HILUX DIESEL DX;2017;33463;Contado
FVJJ-80;CAMIONETA;DONGFENG;DF 2500 CABINA DOBLE;2017;36063;Contado
ST-4449;AUTOMOVIL;DAEWOO;LANOS S;2017;11557;1ra. Cuota
BWXF-94;CAMIONETA;NISSAN;TERRANO PICK UP AXS;2017;87788;Contado
ZS-3066;CAMIONETA;NISSAN;TERRANO DX TDI 4X4;2017;48863;Contado
LB-1882;CAMIONETA;CHEVROLET;LUV 4WD D/C;2017;23115;Contado
BD-7713;AUTOMOVIL;NISSAN;SENTRA 1.6 LX;2017;23115;Contado
BFJS-48;STATION WAGON;JEEP;COMPASS SPORT 4X4;2017;35532;1ra. Cuota
BBTT-91;AUTOMOVIL;SUZUKI;ALTO 800 GL;2017;23115;Contado
VY-1977;CAMIONETA;NISSAN;D21 D/C;2017;23115;Contado
DF-5122;CAMIONETA;TOYOTA;HILUX C/S 1.8 STD;2017;23115;Contado
VC-1831;STATION WAGON;CHEVROLET;CORSA SW ML 1.6L 5P DH CD;2017;23115;Contado
UG-2334;STATION WAGON;HYUNDAI;GALLOPER XL TDI;2017;27100;Contado
FVRG-96;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X2 FULL;2017;96244;1ra. Cuota
TF-2283;CAMIONETA;NISSAN;D22 TERRANO PICK UP AX;2017;23115;Contado
HGSB-46;AUTOMOVIL;SUZUKI;ALTO 800 DLX;2017;35263;Contado
DZKL-45;CAMIONETA;VOLKSWAGEN;AMAROK TRENDLINE 4X2;2017;205088;Contado
GRYZ-29;STATION WAGON;SUZUKI;APV MINVAN EURO4;2017;57244;1ra. Cuota
HTHG-83;AUTOMOVIL;SUZUKI;CELERIO 1.0 GLX BT;2017;68663;Contado
UT-1228;CAMIONETA;CHEVROLET;LUV 2.2 C/C MIL II 2T 2WD;2017;23115;Contado
WH-7292;FURGON;KIA MOTORS;BESTA 2.7 CARGO VAN DH;2017;41263;Contado
FFJH-78;CAMIONETA;NISSAN;TERRANO PICK UP DXS;2017;83944;1ra. Cuota
RJ-9449;AUTOMOVIL;MAZDA;ARTIS LX;2017;23114;Contado
DCVV-55;CAMIONETA;ZX;GRAND TIGER 2.2;2017;34663;Contado
CFYT-21;CAMIONETA;DODGE;DAKOTA QUAD CAB LARAMIE 4;2016;73838;2da. Cuota
CFYT-21;CAMIONETA;DODGE;DAKOTA QUAD CAB LARAMIE 4;2017;58594;1ra. Cuota
CKPK-95;CAMIONETA;GREAT WALL;WINGLE 4X2 AB;2017;40663;Contado
YRV-020;CARRO ARRASTRE;HECHIZO;HECHIZO;2017;23115;Contado
CSCP-34;CAMIONETA;TOYOTA;HILUX DIESEL 4X2 A/A;2017;51694;1ra. Cuota
BDRL-88;CAMIONETA;NISSAN;TERRANO AX-SP TDI 4X4 SV;2017;88088;Contado
FDFL-67;AUTOMOVIL;HYUNDAI;I-10 1.1 FL GLS;2017;42063;Contado
UT-5717;CAMIONETA;NISSAN;D22 AX S D/C;2017;24300;Contado
HVWV-32;STATION WAGON;SUBARU;FORESTER 2.0 DSL AWD CVT;2017;196208;1ra. Cuota
ZS-2221;AUTOMOVIL;FIAT;UNO FIRE;2017;23115;Contado
TH-9574;AUTOMOVIL;SUZUKI;MARUTI 308 GL;2017;23115;Contado
BLZR-12;CAMIONETA;NISSAN;TERRANO DX 4X2;2017;52663;Contado
DKGF-26;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4;2017;194888;Contado
BCHX-71;AUTOMOVIL;KIA MOTORS;RIO JB 1.4 LX MT;2017;26100;Contado
GZHP-74;AUTOMOVIL;SUZUKI;ALTO 800 DLX;2017;35263;Contado
FGKS-92;CAMIONETA;FORD;F-150 CC PLATINUM 4X4 3.5;2017;405215;Contado
SS-9733;CAMIONETA;FORD;RANGER CC XL 4X2 2.5;2017;23115;Contado
YN-9821;CAMIONETA;MITSUBISHI;L200 D/C DIESEL GL;2017;32863;Contado
FPBD-45;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4 FULL;2017;138408;1ra. Cuota
SC-8977;AUTOMOVIL;SUZUKI;BALENO SE;2017;23115;Contado
RG-4315;AUTOMOVIL;MAZDA;ARTIS GLX;2017;23115;Contado
NT-3856;JEEP;SUZUKI;VITARA DE LUX;2017;23115;Contado
YX-5106;CAMIONETA;NISSAN;TERRANO DI.4X2 C/S L2 509;2017;29263;Contado
FRWH-98;STATION WAGON;LIFAN;VAN EX 1.3 AC;2017;38063;Contado
GZHP-43;AUTOMOVIL;RENAULT;SYMBOL EXPRESSION MT;2017;66663;Contado
PV-2084;AUTOMOVIL;SUZUKI;MARUTI 308;2017;23115;Contado
CCXB-31;AUTOMOVIL;CHEVROLET;CORSA III HB 5P 1.6 AC;2017;17632;1ra. Cuota
NP-7113;CAMIONETA;FORD;RANGER C/S;2017;23115;Contado
BFRK-14;AUTOMOVIL;FORD;FIESTA TREND 1.6L;2017;34263;Contado
EG-3646;FURGON;VOLKSWAGEN;VARIANT;2017;23115;Contado
GRYK-25;AUTOMOVIL;MERCEDES BENZ;E200;2017;468815;Contado
